hash,session_id,generated_at,ip,city,priorities
ebd956c1f0b97980,session_1762078445225_f06rld5jj,2025-11-02T09:32:45.461683,127.0.0.1,,"{""custo"": ""100.0"", ""qualidade"": ""0.0"", ""prazo"": ""0.0""}"
757176cbc8e25602,session_1762078445225_f06rld5jj,2025-11-02T09:43:59.066377,127.0.0.1,,"{""custo"": ""21.3"", ""qualidade"": ""30.3"", ""prazo"": ""48.4""}"
f4f395f9aba38bac,session_1762078445225_f06rld5jj,2025-11-02T10:43:40.038797,127.0.0.1,,"{""custo"": ""99.0"", ""qualidade"": ""0.2"", ""prazo"": ""0.8""}"
ab64684024b38b38,session_1762096551634_o0v2j7mb8,2025-11-02T12:22:24.469126,127.0.0.1,,"{""custo"": ""75.4"", ""qualidade"": ""16.0"", ""prazo"": ""8.6""}"
dea0ca5f5d45f89f,session_1762096551634_o0v2j7mb8,2025-11-02T12:47:49.746267,127.0.0.1,,"{""custo"": ""0.8"", ""qualidade"": ""93.1"", ""prazo"": ""6.1""}"
0d5b3de3d60971d1,session_1762096551634_o0v2j7mb8,2025-11-02T12:58:56.125610,127.0.0.1,,"{""custo"": ""98.1"", ""qualidade"": ""0.2"", ""prazo"": ""1.7""}"
